0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:00:38 +0000] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:00:42 +0000] "GET /UserManagementServlet HTTP/1.1" 200 1403
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:00 +0000] "POST /UserManagementServlet HTTP/1.1" 200 1795
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:07 +0000] "POST /LoginServlet HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:10 +0000] "GET /back/GameServlet? HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:10 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:11 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:11 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:11 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:11 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:11 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:12 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:12 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:12 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:13 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:13 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:13 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1078
